pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id,template_flag,template_exporter,is_template,is_us_tpa,is_eu_template,is_plurilateral,n_g20_parties,asymmetry_type,asymmetry_note,alschner_cluster,agreement_name,current_signatories,original_signatories,rta_composition,text_of_the_agreement,annexes_related_documents,annexes,document_type,factual_presentation_g_s,factual_presentation_g,central_european_free_trade_agreement_cefta_secretariat,european_free_trade_association_efta,remarks,southern_african_customs_union_sacu,factual_presentation_s,eu_treaty,european_commission,t_rkiye_ministry_of_trade,text_of_the_agreement_unnofficial_translation,secretariat_general_of_the_gulf_cooperation_council_gcc,mexico_central_america,office_of_the_united_states_trade_representative,factual_abstract_g,economic_community_of_west_african_states_ecowas,bilateral_protocol_and_annexes,asean_free_trade_area_afta,additional_protocol,southern_african_development_community_sadc_accession_of_seychelles,southern_african_development_community_sadc,trade_in_goods,trade_in_services,annexes_goods,annexes_services,annex_7_tourism,treaty_on_a_free_trade_area_between_members_of_the_commonwealth_of_independent_states_cis,russian_federation_ministry_of_foreign_affairs,republic_of_moldova_ministry_of_economy_and_infrastructure,ukraine_ministry_for_development_of_economy_trade_and_agriculture,factual_abstract_s,central_european_free_trade_agreement_cefta_2006,t_rkiye_bosnia_and_herzegovina,latin_american_integration_association_laia,east_african_community_eac_accession_of_burundi_and_rwanda,east_african_community_eac,commission_de_la_communaut_economique,revised_treaty,l_union_economique_et_mon_taire_ouest_africaine,commonwealth_of_independent_states_cis
35,Panama - Central America,"['CRI', 'GTM', 'HND', 'NIC', 'PAN', 'SLV']",6,2002,2002-03-06,2003-04-11,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America,No,Yes,es,39,none,,False,False,False,True,0,plurilateral_symmetric,"6-party agreement, no dominant template detected. G20 members present: 0",modern_global,Panama - El Salvador (Panama - Central America),El Salvador; Panama,El Salvador; Panama,Bilateral,S,,,Language,E F S,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,
36,Thailand - Australia,"['AUS', 'THA']",2,2004,2004-07-05,2005-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,40,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Thailand - Australia,Australia; Thailand,Australia; Thailand,Bilateral,E,,E,Language,,E F S,,,,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,US - Australia,"['AUS', 'USA']",2,2004,2004-05-18,2005-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; North America,Yes,Yes,en,41,us_tpa_template,USA,True,True,False,False,2,bilateral_asymmetric,"USA template exported to smaller partner (us_tpa_template). High CCS may reflect imposition, not organic completeness.",modern_global,United States - Australia,Australia; United States of America,Australia; United States of America,Bilateral,E,,E,Language,,E F S,,,,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ASEAN - China,"['BRN', 'CHN', 'IDN', 'KHM', 'LAO', 'MMR', 'MYS', 'PHL', 'SGP', 'THA', 'VNM']",11,2004,2004-11-29,2005-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,Enabling Clause & GATS Art. V,Bilateral; One Party is an RTA,East Asia,No,Yes,en,42,china_template,CHN,True,False,False,True,2,plurilateral_template,CHN template imposed across 11 parties (china_template),modern_global,ASEAN - China,Brunei Darussalam; Myanmar; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Philippines; Singapore; Viet Nam; Thailand; China,Brunei Darussalam; Myanmar; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Philippines; Singapore; Viet Nam; Thailand; China,Bilateral; One Party is an RTA,E,,E,Language,,,,,"Protocol to amend the Framework Agreement on Comprehensive Economic Co-operation and certain Agreements thereunder between the Association of Southeast Asian Nations (ASEAN) and China.
The Protocol provides amendments to the text of the Rules of Origin (ROO) Chapter and introduces a new section on Customs Procedures and Trade Facilitation (CPTF) to the Trade in Goods Agreement. In addition, the Protocol includes a third package of specific commitments under the Agreement on Trade in Services and adds provisions on the promotion and facilitation of investment in the Investment Agreement. Lastly, the Protocol introduces additional rules and areas of coverage for Economic and Technical Cooperation and a Future Work Programme on the further liberalisation of trade in goods, review of product specific rules, and investment liberalisation and protection.",,E F S,,,,,,,,E,,,ASEAN Free Trade Area (AFTA),E,,,,,,,,,,,,,,,,,,,,,
39,EFTA - Chile,"['CHE', 'CHL', 'ISL', 'LIE', 'NOR']",5,2003,2003-06-26,2004-12-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,South America; Europe,Yes,Yes,en,43,none,,False,False,False,True,0,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 0",modern_global,EFTA - Chile,Chile; Iceland; Liechtenstein; Norway; Switzerland,Chile; Iceland; Liechtenstein; Norway; Switzerland,Bilateral; One Party is an RTA,E S,,E S,Language,,E F S,,European Free Trade Association (EFTA),"Notification of the entry into force of Decision No.1 of 2013 of the Joint EFTA-Chile Committee concerning amendments to Appendices 1 and 2 to Annex I concerning the definition of the concept of ""originating products"" and arrangements for administrative cooperation.

Recognizing that amended origin rules will improve the effectiveness of the Agreement and aiming at ensuring legal certainty and predictability for economic operators.",,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,EU - Egypt,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'EGY', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2001,2001-06-25,2004-06-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,44,none,,False,False,False,True,4,plurilateral_symmetric,"29-party agreement, no dominant template detected. G20 members present: 4",modern_global,EU - Egypt,Austria; Belgium; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Romania; Slovak Republic; Slovenia; Spain; Sweden; Egypt,Austria; Belgium; Cyprus; Czech Republic; Denmark; Egypt; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Slovak Republic; Slovenia; Spain; Sweden; United Kingdom,Bilateral; One Party is an RTA,E F S,,E F S,Language,,E F S,,,,,,EU Treaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Southern African Development Community (SADC),"['AGO', 'BWA', 'LSO', 'MOZ', 'MUS', 'MWI', 'NAM', 'SWZ', 'SYC', 'TZA', 'ZAF', 'ZMB', 'ZWE']",13,1996,1996-08-24,2000-09-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Africa,No,Yes,en,45,none,,False,False,False,True,1,plurilateral_symmetric,"13-party agreement, no dominant template detected. G20 members present: 1",modern_global,Southern African Development Community (SADC),Angola; Botswana; Comoros; Democratic Republic of the Congo; Eswatini; Lesotho; Madagascar; Malawi; Mauritius; Mozambique; Namibia; Seychelles; South Africa; Tanzania; Zambia; Zimbabwe,Botswana; Eswatini; Lesotho; Malawi; Mauritius; Mozambique; Namibia; South Africa; Tanzania; Zambia; Zimbabwe,Plurilateral,,,,Language,,E F S,,,,,,,,,,,,,,,,,,Southern African Development Community (SADC) - Accession of Seychelles,Southern African Development Community (SADC),E,E,E,E,E,,,,,,,,,,,,,,
42,Armenia - Turkmenistan,"['ARM', 'TKM']",2,1995,1995-10-03,1996-07-07,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,No,en,47,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,central_asian,Armenia - Turkmenistan,Armenia; Turkmenistan,Armenia; Turkmenistan,Bilateral,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Armenia - Russian Federation,"['ARM', 'RUS']",2,1992,1992-09-30,1993-03-25,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,48,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",central_asian,Armenia - Russian Federation,,Armenia; Russian Federation,Bilateral,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),"Russian Federation, Ministry of Foreign Affairs",,,,,,,,,,,,
44,Armenia - Moldova,"['ARM', 'MDA']",2,1993,1993-12-24,1995-12-21,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,49,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,central_asian,"Armenia - Moldova, Republic of","Armenia; Moldova, Republic of","Armenia; Moldova, Republic of",Bilateral,E F S,,,Language,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),,"Republic of Moldova, Ministry of Economy and Infrastructure",,,,,,,,,,,
45,Armenia - Kazakhstan,"['ARM', 'KAZ']",2,1999,1999-09-02,2001-12-25,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,50,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,central_asian,Armenia - Kazakhstan,Armenia; Kazakhstan,Armenia; Kazakhstan,Bilateral,E F S,,,Language,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),,,,,,,,,,,,,
46,Armenia - Ukraine,"['ARM', 'UKR']",2,1994,1994-10-07,1996-12-18,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,51,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,central_asian,Armenia - Ukraine,Armenia; Ukraine,Armenia; Ukraine,Bilateral,E F S,,,Language,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),,,"Ukraine, Ministry for Development of Economy, Trade and Agriculture",,,,,,,,,,
47,"Korea, Republic of - Chile","['CHL', 'KOR']",2,2003,2003-02-01,2004-04-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; East Asia,Yes,Yes,en,53,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,"Korea, Republic of - Chile","Chile; Korea, Republic of","Chile; Korea, Republic of",Bilateral,E S,,E S,Language,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,
48,Central European Free Trade Agreement (CEFTA) - Accession of Croatia,[],0,2002,2002-12-05,2003-03-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe,No,Yes,en,54,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,modern_global,Central European Free Trade Agreement (CEFTA) - Accession of Croatia,,Bulgaria; Croatia; Czech Republic; Hungary; Poland; Romania; Slovak Republic; Slovenia,Plurilateral,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central European Free Trade Agreement (CEFTA) 2006,,,,,,,,
49,Chile - Central America,"['CHL', 'CRI', 'GTM', 'HND', 'NIC', 'SLV']",6,1999,1999-10-18,2002-06-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; Central America,Yes,Yes,es,55,none,,False,False,False,True,0,plurilateral_symmetric,"6-party agreement, no dominant template detected. G20 members present: 0",modern_global,Chile - El Salvador (Chile - Central America),Chile; El Salvador,Chile; El Salvador,Bilateral,S,,S,Language,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
50,"China - Macao, China","['CHN', 'MAC']",2,2003,2003-10-17,2003-10-17,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,56,china_template,CHN,True,False,False,False,1,bilateral_asymmetric,"CHN template exported to smaller partner (china_template). High CCS may reflect imposition, not organic completeness.",modern_global,"China - Macao, China","China; Macao, China","China; Macao, China",Bilateral,E,,E,Language,,,,,"The Second Agreement Concerning Amendment to the CEPA Agreement on Trade in Services eliminates the three-year substantive business operation requirement for most service sectors, providing Macao service providers with easier access to the Mainland market. Additionally, it introduces pilot initiatives in the Guangdong-Hong Kong-Macao Greater Bay Area and includes expanded liberalization measures in sectors such as high-tech, financial services, and audio-visual culture. Moreover, it grants professionals in fields like construction and engineering, accounting, medical care, and education facilitative entry conditions into the Mainland of China, empowering Macao service providers to capitalize on their professional strengths and pursue business growth opportunities in the Mainland of China. The Second Amendment Agreement came into effect on the day of signing (i.e. 10 October 2024) and will be implemented on 1 March 2025.",,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
51,"China - Hong Kong, China","['CHN', 'HKG']",2,2003,2003-06-29,2003-06-29,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,57,china_template,CHN,True,False,False,False,1,bilateral_asymmetric,"CHN template exported to smaller partner (china_template). High CCS may reflect imposition, not organic completeness.",modern_global,"China - Hong Kong, China","China; Hong Kong, China","China; Hong Kong, China",Bilateral,E,,E,Language,,,,,"Notification of the Second Agreement Concerning Amendment to the Agreement on Trade in Services of the Mainland and Hong Kong Closer Economic Partnership Arrangement.

The Second Agreement Concerning Amendment to the Agreement on Trade in Services of the Mainland and Hong Kong Closer Economic Partnership Arrangement (“the Amendment Agreement II”) updates the commitments on liberalisation and facilitation of trade in services under the Agreement on Trade in Services notified to the WTO on 23 March 2016 (WT/REG162/N/1/Add.9 and S/C/N/264/Add.9) and implemented on 1 June 2016 so as to further enhance the level of liberalisation on trade in services under the framework of CEPA.  The Agreement on Trade in Services was first amended on 21 November 2019 as notified to the WTO on 18 March 2020 (S/C/N/264/Add.11 and S/C/N/264/Add.11/Corr.1) to add liberalisation measures which have been implemented since 1 June 2020.  The Amendment Agreement II introduces new liberalisation measures in a number of services sectors, including measures for pilot implementation in the nine Pearl River Delta municipalities in the Guangdong-Hong Kong-Macao Greater Bay Area, and includes commitments on domestic regulation for trade in services and facilitation measures on trade and investment, etc.  The Amendment Agreement II came into effect on the day of signing (i.e. 9 October 2024) and will be implemented on 1 March 2025.",,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
52,US - Singapore,"['SGP', 'USA']",2,2003,2003-05-06,2004-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia; North America,Yes,Yes,en,58,us_tpa_template,USA,True,True,False,False,1,bilateral_asymmetric,"USA template exported to smaller partner (us_tpa_template). High CCS may reflect imposition, not organic completeness.",modern_global,United States - Singapore,Singapore; United States of America,Singapore; United States of America,Bilateral,E,,E,Language,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
53,US - Chile,"['CHL', 'USA']",2,2003,2003-06-06,2004-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; North America,Yes,Yes,en,59,us_tpa_template,USA,True,True,False,False,1,bilateral_asymmetric,"USA template exported to smaller partner (us_tpa_template). High CCS may reflect imposition, not organic completeness.",modern_global,United States - Chile,Chile; United States of America,Chile; United States of America,Bilateral,E S,,E S,Language,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
54,Singapore - Australia,"['AUS', 'SGP']",2,2003,2003-02-17,2003-07-28,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Oceania; East Asia,Yes,Yes,en,60,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Singapore - Australia,Australia; Singapore,Australia; Singapore,Bilateral,E,,E,Language,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
55,Turkey - Bosnia and Herzegovina,"['BIH', 'TUR']",2,2002,2002-07-03,2003-07-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,No,en,61,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Türkiye - Bosnia and Herzegovina,,Bosnia and Herzegovina; Türkiye,Bilateral,E,,,,,,,,,,,,,"Türkiye, Ministry of Trade",,,,,,,,,,,,,,,,,,,,,,,Türkiye - Bosnia and Herzegovina,,,,,,,
56,Turkey - Croatia,[],0,2002,2002-03-13,2003-07-01,Inactive,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,62,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,modern_global,Türkiye - Croatia,,Croatia; Türkiye,Bilateral,,,,Language,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
57,EU - Lebanon,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LBN', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,2002,2002-06-17,2003-03-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,No,en,63,none,,False,False,False,True,4,plurilateral_symmetric,"29-party agreement, no dominant template detected. G20 members present: 4",modern_global,EU - Lebanon,Austria; Belgium; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Romania; Slovak Republic; Slovenia; Spain; Sweden; Lebanese Republic,Austria; Belgium; Denmark; Finland; France; Germany; Greece; Ireland; Italy; Lebanese Republic; Luxembourg; Netherlands; Portugal; Spain; Sweden; United Kingdom,Bilateral; One Party is an RTA,E F S,,E F S,,,,,,,,,EU Treaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,EFTA - Singapore,"['CHE', 'ISL', 'LIE', 'NOR', 'SGP']",5,2002,2002-06-26,2003-01-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; East Asia,Yes,Yes,en,65,none,,False,False,False,True,0,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 0",modern_global,EFTA - Singapore,Iceland; Liechtenstein; Norway; Switzerland; Singapore,Iceland; Liechtenstein; Norway; Switzerland; Singapore,Bilateral; One Party is an RTA,E,,E,Language,,,,European Free Trade Association (EFTA),"Notification of the entry into force of Decision No. 1 of 2010 of the Joint EFTA-Singapore Committee concerning amendments to Annex IV concerning fish and other marine products. 

Noting that there are technical errors in Annex IV Fish and Other Marine Products, some of which occurred through the adoption and application of the Joint Committee Decision No. 3 of 2007, amending Annex IV Fish and Other Marine Products, 
Wishing to rectify these errors with the desire to clarify the meaning and increasing the harmonisation of the scope of Annex IV with other existing agreements.",,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
59,Canada - Costa Rica,"['CAN', 'CRI']",2,2001,2001-04-23,2002-11-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,North America; Central America,Yes,Yes,en,66,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Canada - Costa Rica,Canada; Costa Rica,Canada; Costa Rica,Bilateral,E F S,,E F S,Language,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
60,EU - Croatia,[],0,2001,2001-10-29,2002-03-01,Inactive,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe,No,Yes,en,67,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,modern_global,EU - Croatia,,Austria; Belgium; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Slovak Republic; Slovenia; Spain; Sweden; United Kingdom,Plurilateral,E F S,,,Language,,,,,,,E F S,,European Commission,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
61,EU - Jordan,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'JOR', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1997,1997-11-24,2002-05-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,Yes,en,68,none,,False,False,False,True,4,plurilateral_symmetric,"29-party agreement, no dominant template detected. G20 members present: 4",eastern_european,EU - Jordan,Austria; Belgium; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Romania; Slovak Republic; Slovenia; Spain; Sweden; Jordan,Austria; Belgium; Denmark; Finland; France; Germany; Greece; Ireland; Italy; Jordan; Luxembourg; Netherlands; Portugal; Spain; Sweden; United Kingdom,Bilateral; One Party is an RTA,E F S,,E F S,Language,,,,,,,,EU Treaty,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
62,Japan - Singapore,"['JPN', 'SGP']",2,2002,2002-01-13,2002-11-30,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,70,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,"JPN template exported to smaller partner (japan_epa_template). High CCS may reflect imposition, not organic completeness.",modern_global,Japan - Singapore,Japan; Singapore,Japan; Singapore,Bilateral,E,,E,Language,,,,,"Notification of Exchange of Diplomatic Notes amending Annexes IIA and IIB of the Agreement between Japan and Singapore for a New-Age Economic Partnership.

Pursuant to Article 10 (General Review) of the Agreement between Japan and Singapore for a New-Age Economic Partnership (JSEPA) signed on 13 January 2002, Japan and Singapore have agreed to amend Annex IIA (Product-Specific Rules) and Annex IIB (Minimum Data Requirement for Certificate of Origin) as part of the outcome of the General Review.",,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
63,US - Jordan,"['JOR', 'USA']",2,2000,2000-10-24,2001-12-17,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Middle East; North America,Yes,Yes,en,71,us_pre_tpa,USA,True,False,False,False,1,bilateral_asymmetric,"USA template exported to smaller partner (us_pre_tpa). High CCS may reflect imposition, not organic completeness.",modern_global,United States - Jordan,Jordan; United States of America,Jordan; United States of America,Bilateral,E,,E,Language,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,
64,India - Sri Lanka,"['IND', 'LKA']",2,1998,1998-12-28,2001-12-15,In Force,Free Trade Agreement,Enabling Clause,Bilateral,West Asia,No,Yes,en,72,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,India - Sri Lanka,India; Sri Lanka,India; Sri Lanka,Bilateral,E,,E,Language,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
65,EU - Mexico,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MEX', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1997,1997-12-08,2000-07-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral; One Party is an RTA,Europe; North America,Yes,Yes,en,73,none,,False,False,False,True,5,plurilateral_symmetric,"29-party agreement, no dominant template detected. G20 members present: 5",eastern_european,EU - Mexico,Austria; Belgium; Bulgaria; Croatia; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Romania; Slovak Republic; Slovenia; Spain; Sweden; Mexico,Austria; Belgium; Denmark; Finland; France; Germany; Greece; Ireland; Italy; Luxembourg; Mexico; Netherlands; Portugal; Spain; Sweden; United Kingdom,Bilateral; One Party is an RTA,E F S,,E F S,Language,,,,,,,,EU Treaty,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
